utc_timestamp2018,wind_generation_actual2018,wind_capacity2018,temperature2018
2017-11-13 00:00:00+00:00,485892,48315.375,8.775
2017-11-14 00:00:00+00:00,234607,48324.25,6.301
2017-11-15 00:00:00+00:00,187340,48330.292,4.616
2017-11-16 00:00:00+00:00,368873,48337,3.434
2017-11-17 00:00:00+00:00,447435,48337,1.666
2017-11-18 00:00:00+00:00,366328,48337.833,0.43
2017-11-19 00:00:00+00:00,673502,48357,1.518
2017-11-20 00:00:00+00:00,732443,48357.542,0.43
2017-11-21 00:00:00+00:00,396548,48370.542,0.145
2017-11-22 00:00:00+00:00,186748,48383.292,0.497
2017-11-23 00:00:00+00:00,98342,48390.833,1.062
2017-11-24 00:00:00+00:00,107988,48410.5,1.916
2017-11-25 00:00:00+00:00,178695,48422.458,2.715
2017-11-26 00:00:00+00:00,240903,48433.5,2.17
2017-11-27 00:00:00+00:00,147985,48445.875,-0.244
2017-11-28 00:00:00+00:00,534632,48466.375,-0.179
2017-11-29 00:00:00+00:00,655101,48475.75,2.078
2017-11-30 00:00:00+00:00,447276,48493.5,3.491
2017-12-01 00:00:00+00:00,454201,48505.5,4.329
2017-12-02 00:00:00+00:00,648286,48517.792,7.055
2017-12-03 00:00:00+00:00,609178,48536,9.711
2017-12-04 00:00:00+00:00,487258,48537.208,4.847
2017-12-05 00:00:00+00:00,346902,48566.583,2.522
2017-12-06 00:00:00+00:00,500778,48603.167,6.437
2017-12-07 00:00:00+00:00,787334,48607,8.662
2017-12-08 00:00:00+00:00,998899,48607,5.803
2017-12-09 00:00:00+00:00,888048,48607.417,5.918
2017-12-10 00:00:00+00:00,842063,48618.125,3.17
2017-12-11 00:00:00+00:00,476052,48645.125,1.782
2017-12-12 00:00:00+00:00,167250,48673.167,0.482
2017-12-13 00:00:00+00:00,263039,48723.458,-1.074
2017-12-14 00:00:00+00:00,165798,48734.125,-1.861
2017-12-15 00:00:00+00:00,283693,48737,-2.376
2017-12-16 00:00:00+00:00,294833,48737.375,-1.506
2017-12-17 00:00:00+00:00,193625,48746.792,0.857
